Date,Close,Dividends,High,Low,Open,Stock Splits,Volume
2020-01-02,5.9571380615234375,0.0,5.9571380615234375,5.87792847479062,5.9283346184940875,0.0,237536000
2020-01-03,5.86178731918335,0.0,5.905489527898822,5.812870682746855,5.837701493917199,0.0,205384000
2020-01-06,5.886368274688721,0.0,5.8915827013367235,5.742598812189085,5.768670945429099,0.0,262636000
2020-01-07,5.957634449005127,0.0,6.003322975997539,5.869733680543367,5.9146772215510675,0.0,314856000
2020-01-08,5.968808174133301,0.0,6.010027258014917,5.913435777645766,5.953413060374501,0.0,277108000
2020-01-09,6.034362316131592,0.0,6.106619811010042,5.9807280529505515,6.054971861692461,0.0,255112000
2020-01-10,6.0666399002075195,0.0,6.171673904695833,6.052486590125505,6.141380497763163,0.0,316296000
2020-01-13,6.256844520568848,0.0,6.281923504914229,6.126979682987287,6.149576012224581,0.0,319840000
2020-01-14,6.140141010284424,0.0,6.2394638021876485,6.126980379230819,6.214136170566636,0.0,359088000
2020-01-15,6.097679615020752,0.0,6.175151528370707,6.0718556439041,6.152803842842512,0.0,263104000
2020-01-16,6.181110382080078,0.0,6.187069795920927,6.127724301895055,6.151065142101568,0.0,284192000
2020-01-17,6.1898016929626465,0.0,6.207679936211552,6.142375022038857,6.200230549789076,0.0,253792000
2020-01-21,6.156528949737549,0.0,6.190050478993046,6.122510605265829,6.1533008348531135,0.0,217916000
2020-01-22,6.21041202545166,0.0,6.296822835062308,6.182849907874976,6.201721310324639,0.0,239240000
2020-01-23,6.278696537017822,0.0,6.287139081474139,6.161744136844011,6.25038990641841,0.0,244516000
2020-01-24,6.21959924697876,0.0,6.44357246252044,6.165468171441158,6.393910829739287,0.0,373512000
2020-01-27,5.964339256286621,0.0,6.015242215037423,5.766438191541949,5.915670782034059,0.0,470536000
2020-01-28,6.15727424621582,0.0,6.189553975862552,5.977002775723372,6.0301406941602735,0.0,310976000
2020-01-29,6.096936225891113,0.0,6.178877596721385,6.057206631492715,6.14287293300287,0.0,258848000
2020-01-30,6.103638648986816,0.0,6.117047448911372,5.944474034228208,5.9993496142246245,0.0,290504000
2020-01-31,5.8707275390625,0.0,6.069869941674612,5.8290121077994055,6.057951111711317,0.0,370420000
2020-02-03,5.967567443847656,0.0,5.986935186573986,5.846393308772589,5.85260089433316,0.0,255564000
2020-02-04,6.136414527893066,0.0,6.155534568985658,6.059191272083939,6.1091010630333695,0.0,271544000
2020-02-05,6.226551055908203,0.0,6.2672733245790635,6.143367902231967,6.257092639009255,0.0,208220000
2020-02-06,6.3132100105285645,0.0,6.3132100105285645,6.179869362419789,6.260817558047638,0.0,218284000
2020-02-07,6.2471604347229,0.0,6.2953320882230726,6.221832806853207,6.273232574934326,0.0,189752000
2020-02-10,6.529733657836914,0.0,6.530478170125203,6.264789582604499,6.269755839509713,0.0,529608000
2020-02-11,6.651901721954346,0.0,6.766371455351388,6.575919776508791,6.637748408041317,0.0,638556000
2020-02-12,6.767363548278809,0.0,6.773819777194949,6.665805817101901,6.704541769773717,0.0,374644000
2020-02-13,6.723662853240967,0.0,6.790705918000455,6.682195591919942,6.709509538364573,0.0,528016000
2020-02-14,7.195693016052246,0.0,7.324316034279077,7.1015846769682796,7.132871241875488,0.0,1041924000
2020-02-18,7.364046573638916,0.0,7.382421632395123,7.073278958095728,7.0926467000611995,0.0,620164000
2020-02-19,7.8142266273498535,0.0,7.831856698208014,7.486213061326256,7.486213061326256,0.0,694332000
2020-02-20,7.665243625640869,0.0,7.85445349985836,7.358584075955059,7.766304555761992,0.0,810052000
2020-02-21,7.3019700050354,0.0,7.578336145082304,7.217297345134649,7.553257158608696,0.0,768180000
2020-02-24,6.785738945007324,0.0,6.999035117860609,6.654632773657176,6.709012016382708,0.0,856916000
2020-02-25,6.506889820098877,0.0,6.9225559983296225,6.405332082047458,6.8607273723321756,0.0,1055496000
2020-02-26,6.645942211151123,0.0,6.839622002158671,6.505648980883391,6.50713847933115,0.0,747732000
2020-02-27,6.2759928703308105,0.004,6.633769315426996,6.183815706700089,6.33313758427282,0.0,906416000
2020-02-28,6.710043907165527,0.0,6.7694249063788705,6.007411321078499,6.02405771475287,0.0,1133252000
2020-03-02,6.868061542510986,0.0,6.896882687253615,6.4846945394968625,6.87973918151174,0.0,890744000
2020-03-03,6.606188774108887,0.0,6.983344439079889,6.520968366746117,6.923715128015333,0.0,652792000
2020-03-04,7.068813800811768,0.0,7.07825514478719,6.638736722285123,6.713273723231877,0.0,597408000
2020-03-05,6.7900471687316895,0.0,7.036266618537501,6.745573378098731,6.869801250527407,0.0,540328000
2020-03-06,6.609916687011719,0.0,6.668303938946586,6.41015805499431,6.6109104379638275,0.0,515412000
2020-03-09,6.09809684753418,0.0,6.444940981492417,5.917718051294053,5.96045217762715,0.0,614160000
2020-03-10,6.48668098449707,0.0,6.48668098449707,6.111761635809377,6.373881985811504,0.0,580648000
2020-03-11,6.12368631362915,0.0,6.375372011161716,6.026788760709423,6.347047987136621,0.0,499964000
2020-03-12,5.374344825744629,0.0,5.86653526687341,5.361673438486858,5.601681521561961,0.0,816540000
2020-03-13,5.983807563781738,0.0,5.988279679616138,5.456336262840261,5.726904246684154,0.0,634836000
2020-03-16,4.879669189453125,0.0,5.61758282996687,4.820039885736427,5.277446673977681,0.0,726972000
2020-03-17,5.398197650909424,0.0,5.487393549135659,4.745504698988345,4.991724142434878,0.0,833632000
2020-03-18,5.039177417755127,0.0,5.216077814958566,4.489096905227361,4.971597639823064,0.0,874268000
2020-03-19,5.291360378265381,0.0,5.3847795693683445,4.80488415349267,5.017810266103697,0.0,765512000
2020-03-20,5.111976623535156,0.0,5.72243203505823,5.096572300669886,5.441180167876771,0.0,804636000
2020-03-23,5.284404754638672,0.0,5.378569879183568,4.932343026928404,5.11098266460325,0.0,643876000
2020-03-24,6.191017150878906,0.0,6.277480077083795,5.666030667191057,5.689633781228573,0.0,1101644000
2020-03-25,6.102568626403809,0.0,6.50506657225424,6.053871050370559,6.305805100753528,0.0,793432000
2020-03-26,6.391275882720947,0.0,6.515006644099514,6.211393690193772,6.309285031074328,0.0,696108000
2020-03-27,6.279221057891846,0.0,6.537366419164007,6.178596329213779,6.211392473893671,0.0,638828000
2020-03-30,6.598735809326172,0.0,6.60792883445587,6.3005887404953445,6.344565416561682,0.0,602252000
2020-03-31,6.549293041229248,0.0,6.842470871593231,6.403946196155853,6.63873677969042,0.0,949960000
2020-04-01,6.039215087890625,0.0,6.497864673228743,5.9947417601416815,6.351772822111797,0.0,656912000
2020-04-02,6.3472981452941895,0.0,6.360466172613561,6.020330439771605,6.06828211430881,0.0,675764000
2020-04-03,6.060084342956543,0.0,6.351274225977668,5.9229367585123605,6.309782161502397,0.0,663212000
2020-04-06,6.668550491333008,0.0,6.705322110168501,6.284189334359252,6.3415828201352085,0.0,727884000
2020-04-07,6.435749053955078,0.0,6.9132812099097904,6.39276612718909,6.889677611131811,0.0,784520000
2020-04-08,6.63252592086792,0.0,6.657371589711409,6.474756468687239,6.544572565930502,0.0,542444000
2020-04-09,6.533143043518066,0.0,6.780853326872135,6.47028368318691,6.75799563614717,0.0,525564000
2020-04-13,6.704577922821045,0.0,6.71327383532628,6.385312352581156,6.473514021643792,0.0,398408000
2020-04-14,7.054899215698242,0.0,7.088937428093513,6.804952670297664,6.832531266209441,0.0,530948000
2020-04-15,6.977629661560059,0.0,7.06036545365664,6.841972969339748,6.887191708782641,0.0,366148000
2020-04-16,7.321990013122559,0.0,7.4288260502279275,7.119498939335271,7.132666967595268,0.0,745620000
2020-04-17,7.262856483459473,0.0,7.425346330441237,7.129187301845266,7.403979032140469,0.0,539120000
2020-04-20,7.131922721862793,0.0,7.292176804167724,7.0876977207599525,7.136643631616943,0.0,449388000
2020-04-21,6.696129322052002,0.0,7.075272471908903,6.636500013605862,7.0141527743230325,0.0,735160000
2020-04-22,7.109561443328857,0.0,7.1522960535006215,6.84247178837645,6.887938858374896,0.0,483356000
2020-04-23,7.05639123916626,0.0,7.283231356281936,7.031297251133406,7.151550117397166,0.0,424160000
2020-04-24,7.1950297355651855,0.0,7.197017237436438,6.971667981991772,7.046204988864382,0.0,352328000
2020-04-27,7.381123065948486,0.0,7.540631698077307,7.304598558829222,7.3291959080035864,0.0,479388000
2020-04-28,7.239005088806152,0.0,7.558022301469902,7.233539222714368,7.528207409397369,0.0,442904000
2020-04-29,7.41541051864624,0.0,7.468083111373508,7.298387692997143,7.373421341248337,0.0,379160000
2020-04-30,7.2618632316589355,0.0,7.4154088591523335,7.247949773360715,7.361493734355101,0.0,375916000
2020-05-01,7.025830268859863,0.0,7.177885036259341,6.977629802301647,7.064837711480267,0.0,342096000
2020-05-04,7.237266540527344,0.0,7.250931680845557,6.978624046997186,6.978624046997186,0.0,317556000
2020-05-05,7.298138618469238,0.0,7.460380176917266,7.237266757199791,7.3411215423924565,0.0,368896000
2020-05-06,7.398762226104736,0.0,7.503362433621966,7.339630026481675,7.377395399557176,0.0,323464000
2020-05-07,7.57466983795166,0.0,7.637777522329543,7.486468166152815,7.5376498918987815,0.0,373732000
2020-05-08,7.764240741729736,0.0,7.77045203954479,7.612434291582904,7.646224187677115,0.0,339216000
2020-05-11,8.015680313110352,0.0,8.062389929650758,7.730701230129176,7.7592735868249,0.0,469060000
2020-05-12,7.754302501678467,0.0,8.122016839695085,7.744612838906281,8.073319732712656,0.0,493060000
