Date,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
2022-05-04,0.0,31.42783546447754,0.0,31.480117237207107,30.465223896712427,30.815822902403017,0.0,13500
2022-05-05,0.0,30.680509567260746,0.0,31.36940566207213,30.268400468843545,31.36940566207213,0.0,48500
2022-05-06,0.0,30.26839256286621,0.0,30.49597615545395,29.893189590274915,30.36680626499116,0.0,10800
2022-05-09,0.0,29.35191535949707,0.0,30.13307514552468,29.253501657513866,30.13307514552468,0.0,21700
2022-05-10,0.0,29.562902450561523,0.0,29.89935531235384,29.27811662981491,29.733281674834583,0.0,9800
2022-05-11,0.0,28.84139442443848,0.0,29.68160295211767,28.755282723252947,29.351917147706825,0.0,27000
2022-05-12,0.0,28.716524124145508,0.0,29.083730590757064,28.22015014324024,28.533843013148857,0.0,30400
2022-05-13,0.0,29.708667755126957,0.0,29.733271770200957,29.03576460206605,29.41342661334304,0.0,21200
2022-05-16,0.0,29.55489921569824,0.0,29.75787884135232,29.407279802830065,29.75787884135232,0.0,27200
2022-05-17,0.0,30.101703643798828,0.0,30.10170364379883,29.690211756055835,30.022358873901823,0.0,22600
2022-05-18,0.0,28.909059524536133,0.0,29.887046951242198,28.75528793132052,29.874744942220747,0.0,26000
2022-05-19,0.0,28.71837043762207,0.0,29.06281951358646,28.52154306460453,28.755276449950625,0.0,30500
2022-05-20,0.0,28.650714874267575,0.0,29.204291018469604,27.8344933882316,29.204291018469604,0.0,20800
2022-05-23,0.0,28.989641189575195,0.0,29.025930128073263,28.53755225164332,28.866008675777064,0.0,109900
2022-05-24,0.0,28.57075500488281,0.0,28.724526557819352,28.12543318824872,28.724526557819352,0.0,19600
2022-05-25,0.0,28.915212631225582,0.0,29.052993740051917,28.50310584098323,28.50310584098323,0.0,44400
2022-05-26,0.0,29.557357788085938,0.0,29.665612170476265,28.952112151447576,28.952112151447576,0.0,17700
2022-05-27,0.0,30.27085876464844,0.0,30.27085876464844,29.87474255276611,29.87474255276611,0.0,30500
2022-05-31,0.0,30.25486946105957,0.0,30.588246174884627,30.07772568659377,30.588246174884627,0.0,27100
