Date,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
2020-01-02,0.0,93.71912384033203,0.0,93.71912384033203,93.12119627729379,93.47995562242019,0.0,1885300
2020-01-03,0.0,93.11200714111328,0.0,93.4155749387736,92.6428575463891,92.84523607816264,0.0,826800
2020-01-06,0.0,93.33279418945312,0.0,93.35119606863067,92.45889442155469,92.56008370224953,0.0,767600
2020-01-07,0.0,93.2040023803711,0.0,93.39717998822758,92.95563317548707,93.18560752078193,0.0,3601600
2020-01-08,0.0,93.5811767578125,0.0,94.01352269206919,93.16721866745551,93.2224102721987,0.0,701900
2020-01-09,0.0,94.34466552734375,0.0,94.34466552734375,94.00430801555791,94.13309307703247,0.0,1218200
2020-01-10,0.0,94.21588134765625,0.0,94.73102861663534,94.08709628497637,94.52865008434995,0.0,676700
2020-01-13,0.0,94.99778747558594,0.0,94.99778747558594,94.33546734007435,94.50104912851704,0.0,718700
2020-01-14,0.0,94.85979461669922,0.0,95.20935299969037,94.72180864348282,94.96098386250736,0.0,1070900
2020-01-15,0.0,95.14498138427734,0.0,95.35656085879343,94.83221264172222,94.85981545703623,0.0,1140300
2020-01-16,0.0,95.91769409179688,0.0,95.92689503045713,95.53133888718403,95.64172909632764,0.0,911500
2020-01-17,0.0,96.1844711303711,0.0,96.23046880826445,95.93610191722372,96.17527720940065,0.0,721700
2020-01-21,0.0,95.92689514160156,0.0,96.19366621697948,95.77971521416609,95.91769420293065,0.0,947400
2020-01-22,0.0,95.9820785522461,0.0,96.47882392421816,95.89929116604704,96.1384664232764,0.0,912300
2020-01-23,0.0,95.89007568359375,0.0,95.92687241129843,95.28294722211194,95.8256831646751,0.0,865300
2020-01-24,0.0,94.8966064453125,0.0,96.10166963210116,94.56544286419727,96.10166963210116,0.0,903100
2020-01-27,0.0,93.32357788085938,0.0,93.84791905889935,93.1028044949108,93.2775872270106,0.0,1150300
2020-01-28,0.0,94.16070556640625,0.0,94.42747667482881,93.49837826525514,93.84793677719124,0.0,909100
2020-01-29,0.0,94.28946685791016,0.0,94.86899959104898,94.07788740521944,94.6206304249206,0.0,684200
2020-01-30,0.0,94.41827392578125,0.0,94.47346552706603,93.21321050932644,93.57196995419865,0.0,925100
2020-01-31,0.0,92.27488708496094,0.0,94.02269319131956,92.03571886299999,94.02269319131956,0.0,957400
2020-02-03,0.0,93.19480895996094,0.0,93.78354276995123,92.86364531455882,92.91884393429959,0.0,1121600
2020-02-04,0.0,94.5654296875,0.0,94.90578714081151,94.23426615252892,94.31705352714255,0.0,680100
2020-02-05,0.0,95.71531677246094,0.0,95.74291256851065,94.95180032987513,95.56812983584994,0.0,964900
2020-02-06,0.0,96.0556869506836,0.0,96.26726644540331,95.78891585658496,96.26726644540331,0.0,582600
2020-02-07,0.0,95.42094421386719,0.0,95.79809843443509,95.21856569725364,95.79809843443509,0.0,642700
2020-02-10,0.0,95.8808822631836,0.0,95.8808822631836,95.11736595042808,95.20015332449981,0.0,1313100
2020-02-11,0.0,96.0556869506836,0.0,96.44204218285662,95.89010513428653,96.33165898409882,0.0,627100
2020-02-12,0.0,96.63523864746094,0.0,96.69963119403948,96.24887634972839,96.51564747648561,0.0,3387300
2020-02-13,0.0,96.4052505493164,0.0,96.68121555899582,96.00969438567506,96.43284634845833,0.0,2212100
2020-02-14,0.0,96.58921813964844,0.0,96.6812064675581,96.12006854357176,96.64440973274233,0.0,2023400
2020-02-18,0.0,96.32244110107422,0.0,96.52481962087772,95.96368173169861,96.44202521811306,0.0,741600
2020-02-19,0.0,96.64440155029297,0.0,96.80078941458423,96.47881976677083,96.68119828199333,0.0,5644100
2020-02-20,0.0,96.35005187988281,0.0,96.88359405720108,95.52214281477865,96.58922716941518,0.0,1375700
2020-02-21,0.0,95.42094421386719,0.0,96.046474620555,95.1633670901942,96.046474620555,0.0,4847600
2020-02-24,0.0,92.12773132324219,0.0,93.12122225688242,91.81496253972111,91.98974530163761,0.0,1180400
2020-02-25,0.0,89.31281280517578,0.0,92.642843084861,89.05524272067409,92.56924962692953,0.0,1325800
2020-02-26,0.0,89.11965942382812,0.0,90.93185846213264,88.9264818080344,89.98436524350895,0.0,3605500
2020-02-27,0.0,85.32965850830078,0.0,88.82526334072799,85.29286178144264,87.32583356711332,0.0,1943600
2020-02-28,0.0,84.58456420898438,0.0,84.78694276250508,82.18363140268926,82.49640017220133,0.0,4074200
2020-03-02,0.0,88.32852935791016,0.0,88.32852935791016,84.31778387277632,85.81721383825568,0.0,3411300
2020-03-03,0.0,85.67923736572266,0.0,89.48761177761962,84.98011342482445,88.6413079123669,0.0,2987700
2020-03-04,0.0,89.01847839355469,0.0,89.09207187827344,86.35078124597881,87.29827455238471,0.0,2320500
2020-03-05,0.0,86.2127685546875,0.0,87.76739710185005,85.52284563990064,86.73710968919517,0.0,1424900
