Date,Close
2020-03-13,4.123711340206185
2020-03-16,2.061855670103093
2020-03-17,4.742268041237113
2020-03-18,3.917525773195876
2020-03-19,2.6804123711340204
2020-03-20,1.6494845360824744
2020-03-23,1.443298969072165
2020-03-24,2.061855670103093
2020-03-25,1.443298969072165
2020-03-26,4.329896907216495
2020-03-27,2.6804123711340204
2020-03-30,6.5979381443298974
2020-03-31,4.948453608247423
2020-04-01,3.711340206185567
2020-04-02,6.391752577319587
2020-04-03,5.567010309278351
2020-04-06,12.989690721649486
2020-04-07,11.34020618556701
2020-04-08,19.587628865979383
2020-04-09,26.39175257731959
2020-04-13,19.17525773195877
2020-04-14,32.98969072164948
2020-04-15,26.18556701030928
2020-04-16,29.690721649484537
2020-04-17,42.2680412371134
2020-04-20,34.22680412371134
2020-04-21,22.88659793814433
2020-04-22,33.19587628865979
2020-04-23,34.22680412371134
2020-04-24,43.50515463917526
2020-04-27,56.08247422680412
2020-04-28,63.91752577319587
2020-04-29,78.14432989690722
2020-04-30,69.0721649484536
2020-05-01,57.319587628865975
2020-05-04,58.14432989690722
2020-05-05,62.88659793814433
2020-05-06,58.35051546391753
2020-05-07,68.65979381443299
2020-05-08,79.17525773195877
2020-05-11,74.22680412371135
2020-05-12,64.94845360824742
2020-05-13,56.70103092783505
2020-05-14,61.64948453608248
2020-05-15,64.12371134020619
2020-05-18,84.74226804123711
2020-05-19,79.79381443298969
2020-05-20,84.94845360824742
2020-05-21,84.94845360824742
2020-05-22,85.36082474226804
2020-05-26,92.16494845360825
2020-05-27,94.63917525773196
2020-05-28,96.90721649484536
2020-05-29,96.71457905544148
2020-06-01,97.5359342915811
2020-06-02,97.74127310061604
2020-06-03,97.5359342915811
2020-06-04,96.71457905544148
2020-06-05,96.9199178644764
2020-06-08,97.94661190965093
2020-06-09,96.9199178644764
2020-06-10,96.30390143737166
2020-06-11,80.69815195071868
2020-06-12,81.93018480492813
2020-06-15,84.59958932238193
2020-06-16,90.34907597535934
2020-06-17,88.09034907597535
2020-06-18,85.62628336755647
2020-06-19,78.85010266940452
2020-06-22,79.26078028747433
2020-06-23,78.02874743326488
2020-06-24,60.16427104722793
2020-06-25,65.50308008213553
2020-06-26,51.12936344969199
2020-06-29,64.47638603696099
2020-06-30,72.8952772073922
2020-07-01,72.27926078028747
2020-07-02,72.48459958932239
2020-07-06,76.59137577002053
2020-07-07,67.76180698151951
2020-07-08,66.52977412731006
2020-07-09,56.05749486652978
2020-07-10,67.14579055441479
2020-07-13,64.68172484599589
2020-07-14,72.68993839835728
2020-07-15,83.9835728952772
2020-07-16,80.49281314168378
2020-07-17,80.9034907597536
2020-07-20,76.18069815195072
2020-07-21,81.1088295687885
2020-07-22,82.95687885010267
2020-07-23,83.16221765913757
2020-07-24,74.12731006160165
2020-07-27,74.53798767967146
2020-07-28,69.60985626283367
2020-07-29,77.41273100616016
2020-07-30,72.8952772073922
2020-07-31,69.19917864476386
2020-08-03,69.81519507186859
2020-08-04,70.02053388090349
2020-08-05,73.1006160164271
2020-08-06,71.66324435318275
2020-08-07,76.59137577002053
2020-08-10,80.08213552361396
2020-08-11,78.64476386036962
2020-08-12,82.34086242299796
2020-08-13,80.08213552361396
2020-08-14,80.49281314168378
2020-08-17,79.26078028747433
2020-08-18,78.02874743326488
2020-08-19,75.97535934291582
2020-08-20,71.04722792607802
2020-08-21,68.99383983572895
2020-08-24,78.85010266940452
2020-08-25,76.59137577002053
2020-08-26,76.38603696098562
2020-08-27,79.67145790554414
2020-08-28,81.93018480492813
2020-08-31,77.41273100616016
2020-09-01,77.20739219712526
2020-09-02,85.21560574948666
2020-09-03,74.12731006160165
2020-09-04,71.25256673511294
2020-09-08,55.03080082135524
2020-09-09,63.86036960985626
2020-09-10,54.20944558521561
2020-09-11,54.00410677618069
2020-09-14,62.62833675564682
2020-09-15,63.03901437371663
2020-09-16,66.32443531827515
2020-09-17,60.16427104722793
2020-09-18,51.54004106776181
2020-09-21,34.90759753593429
2020-09-22,38.60369609856263
2020-09-23,26.48870636550308
2020-09-24,27.720739219712527
2020-09-25,36.55030800821355
2020-09-28,48.4599589322382
2020-09-29,43.3264887063655
2020-09-30,47.84394250513347
2020-10-01,53.18275154004108
2020-10-02,55.23613963039015
2020-10-05,65.50308008213553
2020-10-06,58.11088295687885
2020-10-07,67.96714579055441
2020-10-08,75.7700205338809
2020-10-09,77.00205338809035
2020-10-12,80.69815195071868
2020-10-13,77.00205338809035
2020-10-14,72.27926078028747
2020-10-15,72.07392197125256
2020-10-16,72.07392197125256
2020-10-19,62.62833675564682
2020-10-20,64.47638603696099
2020-10-21,62.62833675564682
2020-10-22,67.96714579055441
2020-10-23,68.99383983572895
2020-10-26,54.62012320328542
2020-10-27,46.81724845995893
2020-10-28,27.10472279260781
2020-10-29,34.08624229979466
2020-10-30,29.56878850102669
2020-11-02,43.94250513347023
2020-11-03,55.85215605749486
2020-11-04,61.19096509240246
2020-11-05,71.04722792607802
2020-11-06,68.99383983572895
2020-11-09,75.97535934291582
2020-11-10,78.85010266940452
2020-11-11,84.59958932238193
2020-11-12,79.87679671457906
2020-11-13,85.21560574948666
2020-11-16,87.26899383983573
2020-11-17,86.44763860369609
2020-11-18,82.75154004106776
2020-11-19,82.54620123203286
2020-11-20,79.87679671457906
2020-11-23,81.1088295687885
2020-11-24,81.51950718685832
2020-11-25,80.9034907597536
2020-11-27,81.51950718685832
2020-11-30,83.9835728952772
2020-12-01,84.59958932238193
2020-12-02,82.75154004106776
2020-12-03,80.69815195071868
2020-12-04,81.93018480492813
2020-12-07,81.3141683778234
2020-12-08,80.69815195071868
2020-12-09,78.48360655737704
2020-12-10,75.40983606557377
2020-12-11,75.20491803278688
2020-12-14,74.38524590163934
2020-12-15,80.5327868852459
2020-12-16,80.12295081967213
2020-12-17,84.42622950819673
2020-12-18,82.37704918032787
2020-12-21,79.50819672131148
2020-12-22,79.09836065573771
2020-12-23,78.27868852459017
2020-12-24,81.9672131147541
2020-12-28,81.35245901639344
2020-12-29,80.73770491803278
2020-12-30,82.17213114754098
2020-12-31,85.45081967213115
2021-01-04,73.77049180327869
2021-01-05,76.63934426229508
2021-01-06,81.9672131147541
2021-01-07,82.99180327868852
2021-01-08,83.60655737704919
2021-01-11,79.71311475409836
2021-01-12,77.04918032786885
2021-01-13,78.68852459016394
2021-01-14,75.0
2021-01-15,73.15573770491804
2021-01-19,72.74590163934425
2021-01-20,79.30327868852459
2021-01-21,76.22950819672131
2021-01-22,71.92622950819673
2021-01-25,71.51639344262296
2021-01-26,67.62295081967213
2021-01-27,45.49180327868852
2021-01-28,55.94262295081968
2021-01-29,41.39344262295082
2021-02-01,52.04918032786885
2021-02-02,59.42622950819673
2021-02-03,60.245901639344254
2021-02-04,68.44262295081968
2021-02-05,71.72131147540983
2021-02-08,72.95081967213115
2021-02-09,73.15573770491804
2021-02-10,74.38524590163934
2021-02-11,71.92622950819673
2021-02-12,72.3360655737705
2021-02-16,71.10655737704919
2021-02-17,68.85245901639344
2021-02-18,69.26229508196722
2021-02-19,67.00819672131148
2021-02-22,63.59918200408998
2021-02-23,64.89795918367346
2021-02-24,67.3469387755102
2021-02-25,59.18367346938776
2021-02-26,53.87755102040816
2021-03-01,64.28571428571429
2021-03-02,61.836734693877546
2021-03-03,55.91836734693878
2021-03-04,47.55102040816326
2021-03-05,61.0204081632653
2021-03-08,63.26530612244898
2021-03-09,65.71428571428571
2021-03-10,70.20408163265306
2021-03-11,71.83673469387755
2021-03-12,73.06122448979592
2021-03-15,78.77551020408163
2021-03-16,79.38775510204081
2021-03-17,78.16326530612245
2021-03-18,72.85714285714285
2021-03-19,72.44897959183673
2021-03-22,75.51020408163265
2021-03-23,69.79591836734694
2021-03-24,69.59183673469389
2021-03-25,74.28571428571429
2021-03-26,81.22448979591836
2021-03-29,80.20408163265306
2021-03-30,78.36734693877551
2021-03-31,80.81632653061224
2021-04-01,85.71428571428571
2021-04-05,87.95918367346938
2021-04-06,88.36734693877551
2021-04-07,87.34693877551021
2021-04-08,88.77551020408163
2021-04-09,88.77551020408163
2021-04-12,89.79591836734694
2021-04-13,90.0
2021-04-14,91.83673469387756
2021-04-15,92.44897959183672
2021-04-16,91.83673469387756
2021-04-19,89.18367346938776
2021-04-20,80.81632653061224
2021-04-21,87.14285714285714
2021-04-22,84.31771894093686
2021-04-23,88.39103869653768
2021-04-26,89.61303462321793
2021-04-27,89.40936863543789
2021-04-28,89.0020366598778
2021-04-29,87.9837067209776
2021-04-30,83.91038696537679
2021-05-03,84.928716904277
2021-05-04,78.61507128309573
2021-05-05,78.61507128309573
2021-05-06,78.61507128309573
2021-05-07,83.29938900203666
2021-05-10,77.18940936863544
2021-05-11,74.949083503055
2021-05-12,63.9511201629328
2021-05-13,69.65376782077392
2021-05-14,75.96741344195519
2021-05-17,73.5234215885947
2021-05-18,67.0061099796334
2021-05-19,63.747454175152754
2021-05-20,69.24643584521385
2021-05-21,67.61710794297352
2021-05-24,71.89409368635438
2021-05-25,72.09775967413442
2021-05-26,73.72708757637476
2021-05-27,75.15274949083503
2021-05-28,77.18940936863544
2021-06-01,72.09775967413442
2021-06-02,72.09775967413442
2021-06-03,69.65376782077392
2021-06-04,72.70875763747455
2021-06-07,69.4501018329939
2021-06-08,67.82077393075356
2021-06-09,64.76578411405295
2021-06-10,66.39511201629328
2021-06-11,67.41344195519349
2021-06-14,64.96945010183299
2021-06-15,65.78411405295316
2021-06-16,58.45213849287168
2021-06-17,48.676171079429736
2021-06-18,36.04887983706721
2021-06-21,50.30549898167006
2021-06-22,49.287169042769854
2021-06-23,47.15447154471545
2021-06-24,51.115618661257614
2021-06-25,57.40365111561866
2021-06-28,52.53549695740365
2021-06-29,50.10141987829615
2021-06-30,50.70993914807303
2021-07-01,58.21501014198783
2021-07-02,58.21501014198783
2021-07-06,50.91277890466531
