Date,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
2020-01-02,0.0,80.87831115722656,0.0,80.87831115722656,79.84007673625617,80.23769750732113,0.0,1275300
2020-01-03,0.0,79.369873046875,0.0,80.06413119232272,79.1963067047875,79.63179715270601,0.0,1235100
2020-01-06,0.0,78.54308319091797,0.0,78.79554534543387,78.02869687798334,78.37267322291827,0.0,1615200
2020-01-07,0.0,79.9884033203125,0.0,80.30397918966914,79.0511521614105,79.52135594523894,0.0,1146600
2020-01-08,0.0,79.91582489013672,0.0,80.4554552513231,79.57500495434492,80.14619940486733,0.0,1297800
2020-01-09,0.0,80.42073059082031,0.0,81.02663095360947,79.66335152588285,81.02663095360947,0.0,639600
2020-01-10,0.0,79.95368194580078,0.0,80.93195909649116,79.72015828192521,80.93195909649116,0.0,1952100
2020-01-13,0.0,80.88778686523438,0.0,81.00138868155675,80.26610439240359,80.5122536992735,0.0,950100
2020-01-14,0.0,81.06446838378906,0.0,81.7461078872483,80.64160371280592,81.10233804763678,0.0,896400
2020-01-15,0.0,80.20613861083984,0.0,81.21597255436697,79.87478797669846,81.17810287862194,0.0,1516500
2020-01-16,0.0,81.47474670410156,0.0,81.50630356590705,80.76786288759477,80.8246710171668,0.0,1708500
2020-01-17,0.0,82.08695220947266,0.0,82.08695220947266,81.44318217716611,81.970193998652,0.0,1016700
2020-01-21,0.0,82.03961944580078,0.0,82.32363117155747,81.6956431884393,81.76506972153798,0.0,1653300
2020-01-22,0.0,82.59190368652344,0.0,83.51022383046963,82.4025624543903,82.64239901550195,0.0,1251300
2020-01-23,0.0,83.21671295166016,0.0,83.29245230655113,82.15322724353157,82.90744993827407,0.0,1077300
2020-01-24,0.0,82.33309173583984,0.0,84.55156970771384,81.75874830557237,84.43165510292114,0.0,1626300
2020-01-27,0.0,79.18997955322266,0.0,80.15878726233511,79.02903887347581,79.99784658258827,0.0,3212100
2020-01-28,0.0,81.02661895751953,0.0,81.31063064764625,79.6412521003774,80.08620447053269,0.0,2410500
2020-01-29,0.0,79.53713989257812,0.0,80.94143846016281,79.4898009830255,80.73947163243768,0.0,1242300
2020-01-30,0.0,79.540283203125,0.0,79.77380685779524,77.9781933428708,79.09847993736722,0.0,1741800
2020-01-31,0.0,76.7032699584961,0.0,78.87441656306831,76.33720605437914,78.81130284403802,0.0,2155500
2020-02-03,0.0,77.56163787841797,0.0,77.75097904881497,76.88631092527157,76.9368062377857,0.0,1719300
2020-02-04,0.0,79.98523712158203,0.0,80.10515897087885,79.23102164825954,79.62864242786502,0.0,2465100
2020-02-05,0.0,81.82817840576172,0.0,81.96703146341932,80.6195341900348,81.50944621015651,0.0,2009100
2020-02-06,0.0,81.87550354003906,0.0,81.91652961705253,80.88776462143552,81.79977142428446,0.0,1068600
2020-02-07,0.0,79.9442138671875,0.0,81.05503119611124,79.84637965894207,80.91302171893787,0.0,1550700
2020-02-10,0.0,81.06446838378906,0.0,81.1086508620947,79.19943619386288,79.19943619386288,0.0,1212900
2020-02-11,0.0,82.70230865478516,0.0,83.1819815003762,81.85025915576173,81.85025915576173,0.0,1132500
2020-02-12,0.0,83.97723388671875,0.0,84.10031213336478,83.55121269284106,83.62695204109987,0.0,1554900
2020-02-13,0.0,84.06562805175781,0.0,84.61157127372663,83.18202127638791,83.28300470149007,0.0,1681800
2020-02-14,0.0,83.78474426269531,0.0,85.00285787471849,83.36502862235368,84.72515172008056,0.0,1366800
2020-02-18,0.0,82.7086181640625,0.0,82.84115838940141,82.07747388992951,82.51296423360033,0.0,2409900
2020-02-19,0.0,84.79458618164062,0.0,84.95237050110839,83.75950804470642,83.75950804470642,0.0,1575300
2020-02-20,0.0,83.5638427734375,0.0,84.75354866069999,82.33310357887359,84.52949423498447,0.0,2301300
2020-02-21,0.0,81.08026885986328,0.0,83.05576130628593,80.7583802554011,82.98317836931207,0.0,2479200
2020-02-24,0.0,77.19558715820312,0.0,78.37583132393968,76.68435724316687,77.27448293748711,0.0,3786600
2020-02-25,0.0,74.89505767822266,0.0,78.34743246239461,74.4469414883202,78.230666995591,0.0,5127600
2020-02-26,0.0,74.99603271484375,0.0,76.64332414186453,74.53844734889711,75.51041899185562,0.0,4525200
2020-02-27,0.0,71.53416442871094,0.0,74.25756637867053,71.4047806076108,72.76490337877715,0.0,4172100
2020-02-28,0.0,73.14675903320312,0.0,73.62642471313748,68.83286653862932,69.04114613245827,0.0,4788900
2020-03-02,0.0,75.73763275146484,0.0,75.73763275146484,72.04857811908587,74.44377959918639,0.0,4137600
2020-03-03,0.0,73.07102966308594,0.0,77.06619049632502,72.58188746931422,76.07528769776405,0.0,2729700
2020-03-04,0.0,76.80425262451172,0.0,76.80425262451172,73.58856605531864,74.68360134903389,0.0,3355800
2020-03-05,0.0,74.49112701416016,0.0,76.41928132739055,73.86944441481926,74.90137353479271,0.0,3548700
2020-03-06,0.0,72.8627700805664,0.0,73.55072286037627,71.10818207402112,72.22846903677093,0.0,4851600
2020-03-09,0.0,66.6396484375,0.0,70.3034589890073,66.27042805900355,67.04989490758572,0.0,6082500
2020-03-10,0.0,71.01349639892578,0.0,71.07661012669237,66.93312672581624,69.42616231001557,0.0,3859500
2020-03-11,0.0,67.03408813476562,0.0,69.76695932131318,66.29880405782514,68.76658756268827,0.0,2262900
2020-03-12,0.0,59.68439483642578,0.0,64.9071343450977,59.58341505657971,62.35414911244843,0.0,5859900
2020-03-13,0.0,66.0873794555664,0.0,66.3272159173803,59.69386521087569,63.24406240384459,0.0,4420200
2020-03-16,0.0,56.02375030517578,0.0,62.12694406421242,55.43047192328107,59.327805686409796,0.0,4817100
2020-03-17,0.0,60.95301055908203,0.0,61.53682337360579,55.01076426516622,57.516418254001174,0.0,4079100
2020-03-18,0.0,55.944854736328125,0.0,58.945956120823695,52.95006255683319,56.90104057605054,0.0,4131600
2020-03-19,0.0,57.38386917114258,0.0,59.166856981855254,53.767394630208386,54.919238039061305,0.0,2945100
2020-03-20,0.0,55.749210357666016,0.0,60.517525887204215,55.465194944732396,59.46982201801661,0.0,2942700
2020-03-23,0.0,57.74047088623047,0.0,58.66825631793663,55.00760267926754,56.364569363357035,0.0,2787600
2020-03-24,0.0,63.98566436767578,0.0,64.17184910660032,61.17706068312794,61.36324542205248,0.0,5754600
