Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2026-08-28,10.658958705822396,10.758855606387604,10.349279076220208,10.439186096191406,103871200,0.0,0.0,0.0
2026-08-31,10.504119662874801,10.678937814750858,10.459166151624537,10.619000434875488,83005400,0.0,0.0,0.0
2026-09-01,10.479999542236328,10.5600004196167,10.272000312805176,10.380000114440918,67068400,0.011,0.0,0.0
2026-09-02,10.329999923706055,10.4399995803833,10.300000190734863,10.399999618530273,65497500,0.0,0.0,0.0
2026-09-03,10.555000305175781,11.020000457763672,10.555000305175781,11.010000228881836,84324800,0.0,0.0,0.0
2026-09-04,10.663000106811523,10.75,10.569999694824219,10.739999771118164,66108700,0.0,0.0,0.0
2026-09-08,10.520000457763672,10.619999885559082,10.42300033569336,10.539999961853027,75252800,0.0,0.0,0.0
2026-09-09,10.70300006866455,10.710000038146973,10.479999542236328,10.510000228881836,75528000,0.0,0.0,0.0
2026-09-10,10.319999694824219,10.420000076293945,10.309000015258789,10.369999885559082,64115600,0.0,0.0,0.0
2026-09-11,10.399999618530273,10.720000267028809,10.324999809265137,10.369999885559082,84465700,0.0,0.0,0.0
